FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12
01/11/2021;ES30;1=;275;306;331;276;249;314;322;328;329;250;221;186
01/11/2021;ES30;2-;274;255;215;144;182;135;152;148;205;245;362;463
01/11/2021;ES30;2=;504;624;672;530;472;551;551;669;574;495;358;265
01/11/2021;ES31;1-;78;64;53;42;44;40;50;54;67;79;101;145
01/11/2021;ES31;1=;198;227;224;156;118;177;187;189;175;174;110;73
01/11/2021;ES31;2-;62;62;46;44;34;33;52;44;75;79;148;163
01/11/2021;ES31;2=;187;226;197;129;118;151;205;167;169;132;81;53
01/11/2021;ES32;1-;309;244;193;173;130;120;143;142;186;259;324;467
01/11/2021;ES32;1=;542;602;559;422;404;459;472;496;408;379;261;190
01/11/2021;ES32;2-;354;255;204;140;144;103;114;124;117;153;199;307
01/11/2021;ES32;2=;378;410;404;339;346;387;389;349;339;286;230;174
01/11/2021;ES33;1-;345;248;162;113;104;110;230;241;258;400;566;799
01/11/2021;ES33;1=;993;1124;1237;806;733;984;1214;1218;1155;869;567;376
01/11/2021;ES33;2-;201;108;90;67;54;62;102;123;158;241;361;496
01/11/2021;ES33;2=;650;646;584;435;428;539;524;617;537;440;307;201
01/11/2021;ES34;1-;127;114;120;129;107;116;89;88;117;160;248;311
01/11/2021;ES34;1=;352;301;266;209;186;214;223;228;192;170;135;130
01/11/2021;ES34;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/11/2021;ES34;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/11/2021;ES36;1-;600;396;382;279;286;340;277;245;341;497;748;898
01/11/2021;ES36;1=;1142;1127;830;959;1060;1103;1167;1056;912;607;502;280
01/11/2021;ES36;2-;366;276;191;183;202;278;246;310;487;865;1396;1459
01/11/2021;ES36;2=;1547;1332;936;1046;1274;1445;1358;1161;937;615;485;179
01/11/2021;ES37;1-;292;233;155;161;174;264;224;278;393;623;862;947
01/11/2021;ES37;1=;1052;957;758;926;1063;989;895;825;651;479;361;213
01/11/2021;ES37;2-;301;192;165;149;155;300;371;417;530;785;987;1149
01/11/2021;ES37;2=;1447;1484;765;820;1060;1188;1224;1107;789;523;354;148
01/11/2021;ES38;1-;105;82;52;25;24;29;38;55;120;229;278;390
01/11/2021;ES38;1=;452;435;385;243;239;331;335;367;327;236;186;116
01/11/2021;ES38;2-;103;34;31;25;30;34;50;83;93;135;263;303
01/11/2021;ES38;2=;351;362;295;185;218;333;291;292;229;168;123;61
01/11/2021;ES39;1-;968;0;264;202;117;90;133;228;363;393;372;705
01/11/2021;ES39;1=;1047;1250;1485;1431;1013;1086;1350;1473;1370;1148;943;652
01/11/2021;ES39;2-;905;0;314;213;136;125;154;286;376;338;517;836
01/11/2021;ES39;2=;1111;1333;1690;1683;957;1116;1603;1904;1806;1528;1094;817
01/11/2021;ES40;1-;362;246;212;187;190;238;227;231;299;433;541;674
01/11/2021;ES40;1=;751;706;509;600;738;790;725;651;526;396;302;163
01/11/2021;ES40;2-;375;286;248;201;205;298;325;285;423;570;840;1007
01/11/2021;ES40;2=;1109;1064;760;879;1039;1076;1116;1034;908;628;445;217
01/11/2021;ES41;1-;273;201;177;199;169;193;226;273;397;547;639;746
01/11/2021;ES41;1=;799;731;808;629;704;705;741;730;633;489;382;248
01/11/2021;ES41;2-;195;145;129;105;126;142;180;216;306;403;526;727
01/11/2021;ES41;2=;773;696;587;579;643;761;772;668;605;438;303;179
01/11/2021;ES42;1-;277;204;181;139;151;244;159;151;176;249;411;453
01/11/2021;ES42;1=;517;487;344;408;458;458;440;429;332;236;171;80
01/11/2021;ES42;2-;197;159;122;89;69;106;104;120;202;298;417;527
01/11/2021;ES42;2=;634;554;354;361;474;562;554;483;356;229;164;92
01/11/2021;ES43;1-;222;170;143;133;131;121;157;164;203;301;377;517
01/11/2021;ES43;1=;507;602;485;351;405;496;577;517;440;334;273;158
01/11/2021;ES43;2-;278;96;141;115;92;83;99;107;137;191;247;328
01/11/2021;ES43;2=;403;475;438;378;401;429;483;486;447;435;277;228
01/11/2021;ES44;1-;456;372;323;246;277;321;306;391;502;780;1180;1440
01/11/2021;ES44;1=;1416;1293;1043;1161;1256;1252;1226;1155;877;677;544;362
01/11/2021;ES44;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/11/2021;ES44;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/11/2021;ES45;1-;763;469;354;352;282;329;271;329;493;701;1050;1353
01/11/2021;ES45;1=;1561;1635;1166;1144;1421;1406;1355;1302;1096;783;645;453
01/11/2021;ES45;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/11/2021;ES45;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/11/2021;ES46;1-;163;117;87;92;119;187;204;246;375;518;666;743
01/11/2021;ES46;1=;719;598;497;523;679;698;603;969;575;338;227;115
01/11/2021;ES46;2-;161;119;107;89;107;176;170;198;307;437;629;747
01/11/2021;ES46;2=;821;742;546;683;980;740;732;621;511;371;235;139
01/11/2021;ES47;1-;300;231;184;168;149;203;199;219;286;420;509;647
01/11/2021;ES47;1=;762;748;601;601;642;678;702;677;591;424;375;249
01/11/2021;ES47;2-;274;258;237;177;182;212;215;254;318;437;550;575
01/11/2021;ES47;2=;619;577;511;495;549;592;549;549;420;354;264;178
01/11/2021;ES48;1-;167;124;80;85;83;197;183;229;306;450;642;750
01/11/2021;ES48;1=;860;730;448;463;582;710;647;590;449;312;200;107
01/11/2021;ES48;2-;176;140;113;89;84;156;148;196;270;446;576;650
01/11/2021;ES48;2=;622;532;435;448;523;580;510;481;387;304;182;133
01/11/2021;ES49;1-;170;108;105;87;84;118;141;170;222;389;507;623
01/11/2021;ES49;1=;627;603;393;472;567;591;488;499;376;337;203;110
01/11/2021;ES49;2-;108;64;63;42;48;46;60;79;82;112;199;337
01/11/2021;ES49;2=;414;391;371;242;236;323;361;353;315;215;171;113
01/11/2021;ES50;1-;172;111;107;118;71;48;62;54;76;78;132;152
01/11/2021;ES50;1=;211;262;276;220;211;239;253;290;295;271;220;146
01/11/2021;ES50;2-;166;127;90;98;70;61;75;78;85;115;155;188
01/11/2021;ES50;2=;239;235;271;185;206;227;240;221;217;203;156;88
01/11/2021;ES51;1-;146;85;93;63;37;38;57;86;86;160;203;251
01/11/2021;ES51;1=;289;343;349;256;162;235;285;295;259;205;166;113
01/11/2021;ES51;2-;76;73;61;57;47;45;46;58;70;110;165;239
01/11/2021;ES51;2=;296;303;279;182;187;224;231;220;191;174;119;75
01/11/2021;ES52;1-;200;125;93;80;68;65;76;74;80;131;222;331
01/11/2021;ES52;1=;476;490;527;329;293;397;518;550;426;299;236;165
01/11/2021;ES52;2-;79;60;46;38;50;43;72;69;52;107;125;200
01/11/2021;ES52;2=;238;294;266;126;184;219;231;220;197;142;138;82
01/11/2021;ES53;1-;150;84;108;93;68;82;99;62;85;163;188;245
01/11/2021;ES53;1=;294;269;267;273;242;266;263;268;236;214;152;99
01/11/2021;ES53;2-;302;139;159;171;139;139;133;161;197;239;326;363
01/11/2021;ES53;2=;399;404;386;379;348;443;448;439;381;298;266;195
01/11/2021;ES54;1-;111;36;67;47;42;36;66;76;105;126;169;244
01/11/2021;ES54;1=;231;237;204;161;180;165;218;232;213;161;115;79
01/11/2021;ES54;2-;150;53;79;65;52;42;71;68;83;113;173;230
01/11/2021;ES54;2=;292;350;298;249;224;274;266;308;265;217;172;153
01/11/2021;ES55;1-;75;43;38;32;22;23;40;70;92;98;161;170
01/11/2021;ES55;1=;194;165;195;180;167;165;190;228;191;155;111;56
01/11/2021;ES55;2-;68;29;32;22;16;21;39;69;72;91;122;156
01/11/2021;ES55;2=;134;187;179;136;99;153;155;192;157;136;95;49
01/11/2021;ES56;1-;70;51;37;29;36;58;76;102;113;157;207;213
01/11/2021;ES56;1=;206;182;129;131;189;207;178;134;134;120;84;61
01/11/2021;ES56;2-;91;68;42;31;36;70;63;88;76;150;214;253
01/11/2021;ES56;2=;238;314;159;208;265;200;194;216;172;156;82;96
01/11/2021;ES57;1-;81;67;38;28;51;80;93;120;212;321;439;542
01/11/2021;ES57;1=;486;447;335;364;463;455;452;401;307;275;163;59
01/11/2021;ES57;2-;65;41;32;32;33;61;90;102;171;345;424;517
01/11/2021;ES57;2=;613;447;306;365;497;566;628;398;305;207;125;54
01/11/2021;ES58;1-;65;42;40;33;54;61;89;115;131;258;322;346
01/11/2021;ES58;1=;334;252;200;234;259;348;272;203;147;99;81;52
01/11/2021;ES58;2-;39;23;28;17;23;29;39;58;80;117;193;211
01/11/2021;ES58;2=;275;227;129;115;193;187;192;178;114;89;67;28
01/11/2021;ES59;1-;64;34;30;27;31;51;53;73;115;177;224;323
01/11/2021;ES59;1=;264;216;189;187;216;203;238;214;154;96;92;39
01/11/2021;ES59;2-;37;23;19;26;27;36;47;68;110;135;168;232
01/11/2021;ES59;2=;229;191;136;126;166;148;147;115;100;87;54;25
