FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12
02/12/21;ES18;1-;65;41;27;26;45;293;1325;1355;1181;899;635;793
02/12/21;ES18;1=;678;747;598;744;845;690;634;605;437;231;185;202
02/12/21;ES18;2-;123;68;24;21;27;77;265;564;617;643;748;897
02/12/21;ES18;2=;1011;1328;977;830;1051;1290;1401;1360;824;489;372;327
02/12/21;ES19;1-;185;114;87;100;117;230;563;916;1054;898;1012;1025
02/12/21;ES19;1=;1014;1040;958;982;1037;1247;1222;1109;816;533;417;362
02/12/21;ES19;2-;0;0;0;0;0;0;0;0;0;0;0;0
02/12/21;ES19;2=;0;0;0;0;0;0;0;0;0;0;0;0
02/12/21;ES20;1-;5117;2450;1134;704;571;656;1421;4243;8487;9770;9300;8355
02/12/21;ES20;1=;9047;9818;9999;9999;9999;9999;9999;9999;9999;9999;8611;6106
02/12/21;ES20;2-;3121;1769;774;462;468;833;2634;9999;8514;6721;9999;9999
02/12/21;ES20;2=;9855;9991;9999;9999;9999;7768;7072;9999;9999;9760;7839;5039
02/12/21;ES21;1-;82;47;25;34;48;167;841;1575;1110;894;823;1013
02/12/21;ES21;1=;1138;1219;1009;1122;1165;1148;1102;1106;719;444;369;265
02/12/21;ES21;2-;78;49;36;32;75;296;1138;2021;1994;1772;1469;1601
02/12/21;ES21;2=;1707;1690;1590;1684;1896;1991;1895;1606;922;460;321;281
02/12/21;ES22;1-;228;140;139;84;106;449;1239;1437;1738;1350;1230;1179
02/12/21;ES22;1=;1162;1117;1239;996;1137;1172;1279;1285;1250;901;668;495
02/12/21;ES22;2-;372;279;171;133;103;309;757;655;992;1099;1112;1173
02/12/21;ES22;2=;1193;1254;1436;1367;1348;1543;1433;1613;1588;1312;923;732
02/12/21;ES23;1-;750;487;319;238;230;1418;3266;3519;3845;3888;3210;2822
02/12/21;ES23;1=;2697;2433;2510;2107;2469;2661;2474;2563;2364;2033;1498;1145
02/12/21;ES23;2-;1580;993;622;459;344;375;694;1146;1641;1834;1938;2330
02/12/21;ES23;2=;2526;2817;2873;2863;2855;2933;2858;2717;2650;2536;2202;1804
02/12/21;ES24;1-;195;86;62;47;49;47;112;215;424;539;539;640
02/12/21;ES24;1=;676;685;849;716;598;666;725;758;750;564;347;331
02/12/21;ES24;2-;164;105;82;47;67;295;1078;595;1005;841;615;594
02/12/21;ES24;2=;627;565;571;501;558;513;535;638;522;394;274;255
02/12/21;ES25;1-;106;108;89;67;57;61;93;213;160;176;189;212
02/12/21;ES25;1=;196;196;184;178;180;158;120;190;144;193;177;135
02/12/21;ES25;2-;0;0;0;0;0;0;0;0;0;0;0;0
02/12/21;ES25;2=;0;0;0;0;0;0;0;0;0;0;0;0
02/12/21;ES26;1-;183;150;111;71;66;75;199;271;256;305;432;319
02/12/21;ES26;1=;360;305;340;265;386;303;294;310;314;314;274;254
02/12/21;ES26;2-;209;158;108;77;72;88;106;207;268;381;410;412
