FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12
01/01/2021;ES46;1-;603;93;51;37;59;145;140;84;151;174;244;388
01/01/2021;ES46;1=;500;441;275;356;455;573;544;454;381;269;242;110
01/01/2021;ES46;2-;524;90;46;31;56;128;101;77;119;146;254;375
01/01/2021;ES46;2=;553;528;310;330;395;545;540;432;334;273;214;116
01/01/2021;ES47;1-;575;164;78;59;58;113;97;106;113;155;231;347
01/01/2021;ES47;1=;492;511;396;379;480;605;650;626;488;426;318;183
01/01/2021;ES47;2-;449;150;77;58;46;113;112;88;122;149;276;355
01/01/2021;ES47;2=;467;408;320;365;427;516;563;486;390;304;255;172
01/01/2021;ES48;1-;600;60;40;43;41;114;116;94;112;129;196;316
01/01/2021;ES48;1=;503;454;269;298;428;507;535;439;347;254;198;92
01/01/2021;ES48;2-;506;66;50;18;29;83;97;84;102;116;205;292
01/01/2021;ES48;2=;501;441;289;272;344;475;456;380;335;232;214;120
01/01/2021;ES49;1-;417;53;22;11;11;51;102;82;75;130;216;368
01/01/2021;ES49;1=;579;506;267;265;374;469;503;420;369;259;208;70
01/01/2021;ES49;2-;70;318;52;27;17;30;49;56;55;54;73;107
01/01/2021;ES49;2=;195;249;293;152;113;215;232;0;194;168;99;69
01/01/2021;ES50;1-;110;244;86;28;33;19;29;32;51;54;49;71
01/01/2021;ES50;1=;110;170;212;110;102;143;180;0;199;183;126;122
01/01/2021;ES50;2-;428;210;66;112;140;45;88;67;138;84;143;104
01/01/2021;ES50;2=;116;248;178;80;81;156;200;0;193;145;160;105
01/01/2021;ES51;1-;106;350;67;39;35;45;33;47;63;69;90;122
01/01/2021;ES51;1=;158;209;303;149;100;149;224;0;208;200;129;100
01/01/2021;ES51;2-;105;332;42;21;30;17;33;37;48;63;61;96
01/01/2021;ES51;2=;139;227;271;103;126;170;150;0;166;136;101;91
01/01/2021;ES52;1-;141;620;87;42;25;28;43;60;47;55;62;116
01/01/2021;ES52;1=;191;362;416;214;150;243;360;0;304;217;164;117
01/01/2021;ES52;2-;102;312;47;37;25;23;42;36;35;42;54;66
01/01/2021;ES52;2=;126;183;193;107;96;132;164;0;155;134;69;73
01/01/2021;ES53;1-;89;28;29;18;17;31;80;153;253;303;281;293
01/01/2021;ES53;1=;287;327;344;319;285;352;354;366;341;231;205;137
01/01/2021;ES53;2-;265;263;114;49;49;46;73;68;81;97;126;174
01/01/2021;ES53;2=;273;324;287;247;275;315;357;379;312;245;202;191
