COD_VIA;VIA_SQC;VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;FECHA_DE_ALTA;FECHA_DE_BAJA;VIA_ESTADO
782;1;PLAZA;DE;JOAQUIN RODRIGO;JOAQUÍN RODRIGO;29/09/1989;;V
783;1;CALLE;DEL;RISCO DE LOS CLAVELES;RISCO DE LOS CLAVELES;29/09/1989;;V
784;1;CALLE;DEL;PICO OCEJON;PICO OCEJÓN;29/09/1989;;V
785;1;CALLE;DE LAS;CINCO LAGUNAS;CINCO LAGUNAS;29/09/1989;;V
786;1;CALLE;DEL;PICO DE LA MIEL;PICO DE LA MIEL;29/09/1989;;V
787;1;CALLE;DEL;CARDENAL MARCELO SPINOLA;CARDENAL MARCELO SPÍNOLA;29/09/1989;27/11/1992;V
787;2;CALLE;DE;JOSE BARDASANO BAOS;JOSÉ BARDASANO BAOS;27/11/1992;;V
788;1;CALLE;DE;CALELLA;CALELLA;29/09/1989;;V
789;1;CALLE;DE;TOSSA;TOSSA;29/09/1989;;V
790;1;CALLE;DE;MALGRAT DE MAR;MALGRAT DE MAR;29/09/1989;;V
791;1;TRAVESÍA;DE;HUMANES;HUMANES;29/09/1989;;V
792;1;CALLE;DE;TORREPEROGIL;TORREPEROGIL;29/09/1989;;V
793;1;CALLE;DE;HUESA;HUESA;29/09/1989;;V
794;1;CALLE;DE;CAMPILLO DE ARENAS;CAMPILLO DE ARENAS;29/09/1989;;V
795;1;CALLE;DE;IBROS;IBROS;29/09/1989;;V
796;1;CALLE;DE;GUARROMAN;GUARROMÁN;29/09/1989;;V
797;1;CALLE;DE;SABIOTE;SABIOTE;29/09/1989;;V
798;1;CALLE;DEL;RIO SAN LORENZO;RÍO SAN LORENZO;29/09/1989;;V
799;1;CALLE;DEL;RIO BRAVO;RÍO BRAVO;29/09/1989;;V
799;2;CALLE;;CUATRO;CUATRO;01/01/1966;29/09/1989;V
800;1;CALLE;DE;ABANTOS;ABANTOS;10/02/1945;;V
801;1;CALLE;DEL;RIO DE LA PLATA;RÍO DE LA PLATA;29/09/1989;;V
802;1;CALLE;DEL;RIO SAN PEDRO;RÍO SAN PEDRO;29/09/1989;;V
803;1;CALLE;DEL;RIO ARAUCA;RÍO ARAUCA;29/09/1989;;V
804;1;CALLE;DEL;RIO NEGRO;RÍO NEGRO;29/09/1989;;V
804;2;CALLE;;DIECISEIS;DIECISÉIS;01/01/1969;29/09/1989;V
805;1;CALLE;DEL;RIO MAGDALENA;RÍO MAGDALENA;29/09/1989;;V
806;1;CALLE;DEL;RIO GRANDE;RÍO GRANDE;29/09/1989;;V
807;1;CALLE;DEL;RIO SALADO;RÍO SALADO;29/09/1989;;V
808;1;CALLE;DEL;RIO IGUAZU;RÍO IGUAZÚ;29/09/1989;;V
809;1;CALLE;DEL;RIO PARANA;RÍO PARANÁ;29/09/1989;;V
810;1;CALLE;DEL;RIO ORINOCO;RÍO ORINOCO;29/09/1989;;V
811;1;CALLE;DEL;RIO URUGUAY;RÍO URUGUAY;29/09/1989;;V
812;1;CALLE;DE;MANUEL BADIA;MANUEL BADÍA;29/09/1989;;V
813;1;CALLE;DEL;RIO CORRIENTES;RÍO CORRIENTES;29/09/1989;;V
814;1;CALLE;DEL;RIO CHICO;RÍO CHICO;29/09/1989;;V
815;1;CALLE;DEL;RIO JACUI;RÍO JACUÍ;29/09/1989;;V
816;1;CALLE;DEL;LAGO CALAFATE;LAGO CALAFATE;29/09/1989;;V
817;1;CALLE;DEL;GOLFO DE GUAYAQUIL;GOLFO DE GUAYAQUIL;29/09/1989;;V
818;1;CALLE;DEL;LAGO MARACAIBO;LAGO MARACAIBO;29/09/1989;;V
819;1;CALLE;DEL;RIO ESMERALDA;RÍO ESMERALDA;29/09/1989;;V
820;1;CALLE;DEL;GOLFO DE DARIEN;GOLFO DE DARIÉN;29/09/1989;;V
821;1;CALLE;DEL;LAGO MIRIM;LAGO MIRÍM;29/09/1989;;V
822;1;CALLE;DEL;LAGO NICARAGUA;LAGO NICARAGUA;29/09/1989;;V
823;1;CALLE;DEL;LAGO SAN MARTIN;LAGO SAN MARTÍN;29/09/1989;;V
824;1;CALLE;DEL;RIO COLORADO;RÍO COLORADO;29/09/1989;;V
825;1;PASAJE;DE LA;TIERRUCA;TIERRUCA;29/09/1989;;V
826;1;CALLE;DE;MARTINEZ MOLINA;MARTÍNEZ MOLINA;28/02/1990;;V
827;1;CALLE;DE;PATONES;PATONES;28/02/1990;;V
828;1;PLAZA;DEL;DOCTOR BARRAQUER;DOCTOR BARRAQUER;28/02/1990;;V
