AÑO;MES;DISTRITO;FUEGOS;DAÑOS EN CONSTRUCCION;SALVAMENTOS Y RESCATES;DAÑOS POR AGUA;INCIDENTES DIVERSOS;SALIDAS SIN INTERVENCION;SERVICIOS VARIOS;TOTAL
2023;mayo;SAN BLAS;26;4;18;14;20;16;6;104
2023;mayo;BARAJAS;2;2;10;11;11;2;1;39
2023;mayo;FUERA TERMINO MUNICIPAL;2;0;0;0;0;1;6;9
2023;abril;CENTRO;30;14;62;19;45;39;14;223
2023;abril;ARGANZUELA;11;9;23;12;22;11;1;89
2023;abril;RETIRO;15;3;17;6;15;7;2;65
2023;abril;SALAMANCA;18;11;30;8;24;13;7;111
2023;abril;CHAMARTIN;17;8;21;11;24;7;10;98
2023;abril;TETUAN;32;6;38;11;11;11;6;115
2023;abril;CHAMBERI;18;10;32;7;15;11;4;97
2023;abril;FUENCARRAL;21;3;30;6;22;14;10;106
2023;abril;MONCLOA;28;6;28;9;29;14;10;124
2023;abril;LATINA;33;5;43;5;19;10;3;118
2023;abril;CARABANCHEL;28;9;35;14;27;14;1;128
2023;abril;USERA;24;8;30;8;12;13;8;103
2023;abril;PUENTE VALLECAS;45;9;43;15;27;14;9;162
2023;abril;MORATALAZ;10;1;21;2;12;7;1;54
2023;abril;CIUDAD LINEAL;30;8;42;16;13;9;2;120
2023;abril;HORTALEZA;33;4;20;3;24;11;3;98
2023;abril;VILLAVERDE;32;4;21;7;17;5;4;90
2023;abril;VILLA DE VALLECAS;24;1;18;5;11;9;2;70
2023;abril;VICALVARO;7;1;9;3;7;4;3;34
2023;abril;SAN BLAS;13;3;32;8;17;6;4;83
2023;abril;BARAJAS;14;0;5;1;7;2;2;31
2023;abril;FUERA TERMINO MUNICIPAL;0;0;1;0;0;0;4;5
2023;marzo;CENTRO;46;25;78;24;72;32;11;288
2023;marzo;ARGANZUELA;16;6;23;5;18;12;2;82
2023;marzo;RETIRO;14;9;11;6;9;7;1;57
2023;marzo;SALAMANCA;17;16;44;9;21;7;9;123
2023;marzo;CHAMARTIN;14;5;30;6;20;8;6;89
2023;marzo;TETUAN;13;8;38;12;23;5;4;103
2023;marzo;CHAMBERI;13;11;30;9;16;6;4;89
2023;marzo;FUENCARRAL;18;3;31;11;26;6;4;99
2023;marzo;MONCLOA;11;11;23;5;19;7;1;77
2023;marzo;LATINA;23;7;29;7;15;13;7;101
2023;marzo;CARABANCHEL;35;4;30;9;26;16;0;120
2023;marzo;USERA;15;4;21;5;17;7;2;71
2023;marzo;PUENTE VALLECAS;36;10;49;8;21;16;3;143
2023;marzo;MORATALAZ;14;2;24;2;10;2;1;55
2023;marzo;CIUDAD LINEAL;18;6;30;11;29;8;1;103
2023;marzo;HORTALEZA;14;1;27;7;27;10;3;89
2023;marzo;VILLAVERDE;21;8;28;5;13;6;7;88
2023;marzo;VILLA DE VALLECAS;27;3;19;5;10;8;3;75
2023;marzo;VICALVARO;9;2;9;5;5;1;3;34
2023;marzo;SAN BLAS;11;6;25;5;14;6;2;69
2023;marzo;BARAJAS;5;0;3;1;7;6;1;23
