tipo_bloque,C,50;TIPO,C,254;VIA_CLASE,C,254;VIA_PAR,C,254;VIA_NOMBRE,C,254;CLASE_APP,C,254;NUMERO,N,10,0;COD_NDP,N,10,0;DISTRITO,N,10,0;BARRIO,N,10,0;X_UTM,N,19,11;Y_UTM,N,19,11
B - Báculo.;SA - Sodio alta presión.;AUTOVIA;;M-30;KM;00+190;00RA19ALUM01;5;6;442807,1537;4480826,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B - Báculo.;SA - Sodio alta presión.;AUTOVIA;;M-30;KM;00+210;00RA21ALUM01;5;6;442815,7341;4480771,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B - Báculo.;SA - Sodio alta presión.;AUTOVIA;;M-30;KM;00+230;00RA23ALUM01;5;6;442818,5087;4480728,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B - Báculo.;SA - Sodio alta presión.;AUTOVIA;;M-30;KM;00+400;00RA40ALUM01;5;6;442874,5396;4480533,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B - Báculo.;SA - Sodio alta presión.;AUTOVIA;;M-30;KM;00+020;00RC02ALUM01;5;6;442838,5773;4480611,847,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B - Báculo.;SA - Sodio alta presión.;AUTOVIA;;M-30;KM;00+080;00RC08ALUM01;5;6;442856,8842;4480557,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B - Báculo.;SA - Sodio alta presión.;AUTOVIA;;M-30;KM;00+120;00RC12ALUM01;5;6;442851,9204;4480518,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B - Báculo.;SA - Sodio alta presión.;AUTOVIA;;M-30;KM;00+190;00RC19ALUM01;5;6;442792,526;4480488,725,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B - Báculo.;SA - Sodio alta presión.;AUTOVIA;;M-30;KM;00+230;00RC23ALUM01;5;6;442752,3145;4480479,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B - Báculo.;SA - Sodio alta presión.;AUTOVIA;;M-30;KM;00+060;00RH06ALUM01;5;6;442858,6402;4480493,938,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B - Báculo.;SA - Sodio alta presión.;AUTOVIA;;M-30;KM;00+090;00RH09ALUM01;5;6;442835,383;4480490,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B - Báculo.;SA - Sodio alta presión.;AUTOVIA;;M-30;KM;00+040;00RN04ALUM01;15;9;442915,5471;4480664,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B - Báculo.;SA - Sodio alta presión.;AUTOVIA;;M-30;KM;00+080;00RN08ALUM01;15;9;442906,0033;4480701,939,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B - Báculo.;SA - Sodio alta presión.;AUTOVIA;;M-30;KM;00+130;00RN13ALUM01;15;9;442896,2706;4480745,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B - Báculo.;SA - Sodio alta presión.;AUTOVIA;;M-30;KM;00+180;00RN18ALUM01;15;9;442888,4175;4480794,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,
