COD_VIA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;COD_VIA_COMIENZA;CLASE_COMIENZA;PARTICULA_COMIENZA;VIA_NOMBRE_COMIENZA;COD_VIA_TERMINA;CLASE_TERMINA;PARTICULA_TERMINA;VIA_NOMBRE_TERMINA
00664000;CALLE;DE;SAN COSME Y SAN DAMIÁN;00695900;CALLE;DE;SANTA ISABEL;244000;CALLE;DEL;DOCTOR PIGA
00664100;CALLE;DE;SAN CRISPÍN;00652100;CALLE;DE;SAAVEDRA FAJARDO;693800;PLAZA;DE;SANTA CRISTINA
00664200;CALLE;DE;SAN CRISTÓBAL;00497800;CALLE;;MAYOR;693900;PLAZA;DE;SANTA CRUZ
00664300;PLAZA;DE;SAN CRISTÓBAL;00222850;AVENIDA;;CUARTA;739675;AVENIDA;;TERCERA
31000189;CALLE;DE;SAN CRISTÓBAL DE LA LAGUNA;31000201;CALLE;DE LA;CATEDRAL DE BURGOS;31000176;CALLE;DE LAS;CUEVAS DE ALTAMIRA
00664450;CALLE;DE;SAN CUGAT DEL VALLÉS;00006700;CALLE;DE;AFUERAS A VALVERDE;1188;CALLE;DE;CALDAS DE ESTRACH
00664500;CALLE;DE;SAN DACIO;00679900;CALLE;DE;SAN MODESTO;50800;CALLE;DE;ÁNGEL MÚGICA
00664600;CALLE;DE;SAN DALMACIO;00045700;AVENIDA;DE;ANDALUCÍA;637500;CALLE;DE LA;RESINA
00664700;CALLE;DE;SAN DÁMASO;00468400;AVENIDA;DEL;MANZANARES;672000;PASEO;DE;SAN ILLÁN
00664800;CALLE;DE;SAN DANIEL;00687900;GLORIETA;DE;SAN VÍCTOR;24000;CALLE;DE;ALEJANDRO SAINT AUBIN
00664900;CALLE;DE;SAN DAVID;00468400;AVENIDA;DEL;MANZANARES;59400;CALLE;DE;ANTONIO LÓPEZ
00665000;CALLE;DE;SAN DELFÍN;00468400;AVENIDA;DEL;MANZANARES;59400;CALLE;DE;ANTONIO LÓPEZ
00665200;CALLE;DE;SAN DEOGRACIAS;00333700;CALLE;DE;JOAQUÍN TURINA;480300;CALLE;DE LOS;MARIANISTAS
00665400;AVENIDA;DE;SAN DIEGO;00516600;AVENIDA;DEL;MONTE IGUELDO;2219;CALLE;DE;CANDILEJAS
00665300;CALLE;DE;SAN DIEGO;00720500;CALLE;DE LA;SIERRA DE TOLOÑO;716200;CALLE;DE LA;SIERRA FALADORA
00665450;PLAZA;DE;SAN DIEGO;00390800;CALLE;DE;JAVIER DE MIGUEL;117400;AVENIDA;DE;BUENOS AIRES
00665500;TRAVESIA;DE;SAN DIEGO;00665400;AVENIDA;DE;SAN DIEGO;99000001;LUGAR;;FONDO DE SACO
00665600;CALLE;DE;SAN DIMAS;00558900;CALLE;DE LA;PALMA;99000001;LUGAR;;FONDO DE SACO
00665650;CALLE;DE;SAN DONATO;00679250;CALLE;DE;SAN MAXIMILIANO;688050;CALLE;DE;SAN VIDAL
00665800;CALLE;DE;SAN ELÍAS;00677400;CALLE;DE;SAN MAGÍN;677400;CALLE;DE;SAN MAGÍN
00665900;AVENIDA;DE;SAN ELOY;00680100;CALLE;DE;SAN NARCISO;671300;CALLE;DE;SAN HILARIO
00666000;CALLE;DE;SAN EMETERIO;00429700;CALLE;DE LA;LAGUNA;388000;CALLE;DEL;JABIRÚ
00666100;CALLE;DE;SAN EMILIO;00227700;CALLE;DE;CYESA;630400;CALLE;DE;RAMÓN PATUEL
00666200;CALLE;DE;SAN ENRIQUE;00114600;CALLE;DE;BRAVO MURILLO;373400;CALLE;DE LA;INFANTA MERCEDES
00002683;CALLE;DE;SAN ENRIQUE DE OSSÓ;00002682;CALLE;DE;JULIO CARO BAROJA;31001351;CALLE;DE;AGATHA CHRISTIE
00666300;CALLE;DE;SAN EPIFANIO;00023300;CALLE;DE;ALEJANDRO DUMAS;795300;PASEO;DE LA;VIRGEN DEL PUERTO
00666400;CALLE;DE;SAN ERASMO;00681100;CALLE;DE;SAN NORBERTO;31000409;CALLE;DE;LAGUNA DALGA
00666500;CALLE;DE;SAN ERNESTO;00610450;CALLE;DEL;PRÍNCIPE DE VERGARA;472100;CALLE;DE;MARCENADO
